title,id,weight,width,height,depth
ROZDZIELNIA ALFA 2S  (5-409) RAL 9003,5-409,"0,15","50,00","140,00","67,00"
ROZDZIELNIA ALFA 2Z  kaseta ster.+ 2 przyciski  (5-410) RAL 9003  MOQ 20 szt,5-410,"1,20","180,00","180,00","100,00"
ROZDZIELNIA ALFA 3 Z ZAMKIEM i SZYBĄ  (5-406),5-406,"0,80","180,00","180,00","100,00"
ROZDZIEL.p.poż z przyciskiem FT22-Kc-01  (5-411),5-411,"0,85","180,00","180,00","100,00"
ROZDZ. p.poż.z rozłącznikiem FR303-100A  (5-412),5-412,"1,05","180,00","180,00","100,00"
ROZDZIELNIA ALFA 4S  (5-408) RAL 9003,5-408,"0,15","87,00","140,00","67,00"
ROZDZIELNIA ALFA 6S  (5-407) RAL 9003,5-407,"0,30","130,00","140,00","67,00"
ROZDZIELNIA Natynkowa ALFA 7S ZAMEK SZYBA (5-405) RAL 9003 IP 44 /Alfa 2Z/,5-405,"0,80","180,00","180,00","100,00"
ROZDZIELNIA NRL 12  (4-282) RAL 9003,4-282,"7,48","310,00","580,00","220,00"
ROZDZIELNIA NRL 12 Z ZAMKIEM  (4-284) RAL 9003,4-284,"7,65","310,00","580,00","220,00"
ROZDZIELNIA NRL 12 Z ZAMKIEM I SZYBĄ  (4-285) RAL 9003,4-285,"7,57","310,00","580,00","220,00"
ROZDZIELNIA NRL 12E  (4-282E) RAL 9003,4-282E,"6,05","310,00","580,00","130,00"
ROZDZIELNIA NRL 12E Z ZAMKIEM (4-284E) RAL 9003,4-284E,"6,09","310,00","580,00","130,00"
ROZDZIELNIA NRL 12E Z ZAMKIEM I SZYBĄ (pod licznik elektroniczny)  (4-285E) RAL 9003,4-285E,"6,15","310,00","580,00","130,00"
ROZDZIELNIA NRL 1F 12 Z ZAMKIEM  (4-262) RAL 9003,4-262,"5,88","310,00","395,00","220,00"
"ROZDZIELNIA NRL 1F 12 Z ZAMKIEM 9081, RAL 9003  MOQ : 10 szt /wycofane/",4-262-9081,"5,90","310,00","395,00","220,00"
ROZDZIELNIA NRL 1F 12 Z ZAMKIEM I SZYBĄ  (4-263) RAL 9003,4-263,"5,86","310,00","395,00","220,00"
"ROZDZIELNIA NRL 1F 12Z ZAMKIEM I SZYBĄ 9081, RAL 9003   MOQ : 10 szt /wycofane/",4-263-9081,"5,92","310,00","395,00","220,00"
ROZDZIELNIA NRL 1F 6  (4-254) RAL 9003,4-254,"5,92","310,00","430,00","220,00"
ROZDZIELNIA NRL 1F 6 WĄSKA  (4-331) RAL 9003,4-331,"5,17","220,00","430,00","220,00"
ROZDZIELNIA NRL 1F 6 WĄSKA Z ZAMKIEM  (4-333) RAL 9003,4-333,"5,31","220,00","430,00","220,00"
ROZDZIELNIA NRL 1F 6 WĄSKA Z ZAMKIEM I SZYBĄ (4-334) RAL 9003,4-334,"5,25","220,00","430,00","220,00"
ROZDZIELNIA NRL 1F 6 WĄSKA POD LICZNIK ELEKTRONICZNY (4-331E) RAL 9003,4-331E,"4,01","220,00","430,00","130,00"
ROZDZIELNIA NRL 1F 6 WĄSKA Z ZAMKIEM POD LICZNIK ELEKTRONICZNY  (4-333E) RAL 9003,4-333E,"4,08","220,00","430,00","130,00"
ROZDZIELNIA NRL 1F 6 WĄSKA Z ZAMKIEM I SZYBĄ POD LICZNIK ELEKTRONICZNY  (4-334E) RAL 9003,4-334E,"4,02","220,00","430,00","130,00"
ROZDZIELNIA NRL 1F 6 Z ZAMKIEM  (4-259) RAL 9003,4-259,"6,10","310,00","395,00","220,00"
ROZDZIELNIA NRL 1F 6 Z ZAMKIEM I SZYBĄ  (4-260) RAL 9003,4-260,"5,86","310,00","395,00","220,00"
ROZDZIELNIA NRL 1F Z ZAMKIEM I SZYBĄ (4-248) RAL 9003,4-248,"3,65","220,00","310,00","220,00"
"ROZDZIELNIA NRL 1F/3F RBK 00, ZMk (KR-35) RAL 9003",4-209,"10,00","490,00","580,00","220,00"
ROZDZIELNIA NRL 24  (4-291) RAL 9003,4-291,"11,55","490,00","580,00","220,00"
ROZDZIELNIA NRL 24 Z ZAMKIEM  (4-293) RAL 9003,4-293,"11,78","490,00","580,00","220,00"
ROZDZIELNIA NRL 24 Z ZAMKIEM I SZYBĄ (4-294) RAL 9003,4-294,"11,39","490,00","580,00","220,00"
ROZDZIELNIA NRL-2L 24 Z ZAMKAMI  (4-325) RAL 9003,4-325,"15,00","620,00","580,00","220,00"
